driver_id,first_name,last_name,gender,age,phone,city,vehicle_type,rating,joining_date,status
1,Jimmy,Griffith,Female,53,01085313793,Giza,Scooter,4.3,2026-03-24,Active
2,Michelle,Brown,Male,33,01183269816,Giza,Motorcycle,3.9,2026-04-27,Active
3,Frank,Brown,Female,47,01506345115,Alexandria,Motorcycle,4.3,2024-01-21,Active
4,Angela,Massey,Male,43,01530038202,Cairo,Motorcycle,3.9,2026-02-08,Active
5,Steve,Carter,Female,53,01142790228,Alexandria,Motorcycle,4.9,2025-03-16,Inactive
6,Russell,Martinez,Male,21,01248948456,Assiut,Motorcycle,4.1,2023-06-21,Active
7,Dana,Jackson,Female,49,01100844641,Cairo,Bicycle,4.5,2023-05-23,Active
8,Timothy,Taylor,Male,39,01017315749,Cairo,Motorcycle,4.5,2023-04-20,Active
9,Suzanne,Morrow,Male,39,01568795617,Ismailia,Motorcycle,4.5,2025-12-10,Active
10,Vincent,Mahoney,Female,34,01556771175,Giza,Motorcycle,3.9,2024-05-10,Active
11,Heather,Lee,Female,45,01560552569,Giza,Car,4.5,2024-02-23,Active
12,Deborah,Erickson,Female,55,01252671512,Zagazig,Motorcycle,4.2,2025-03-01,Active
13,Marcus,Lopez,Male,54,01070518812,Zagazig,Motorcycle,4.8,2023-10-02,Active
14,Robert,Tapia,Female,52,01286965528,Mansoura,Scooter,4.6,2023-03-03,Active
15,Tracey,Anderson,Female,33,01144514571,Giza,Motorcycle,4.3,2023-12-17,Active
16,Jaime,Sheppard,Male,29,01016531873,Cairo,Motorcycle,3.9,2023-03-29,Active
17,Edwin,Rose,Female,38,01527750580,Tanta,Motorcycle,4.5,2023-10-29,Active
18,Spencer,Jenkins,Female,49,01119278195,Alexandria,Car,4.4,2025-12-03,Active
19,Jasmine,Coffey,Female,41,01270518634,Alexandria,Scooter,4.5,2023-10-28,Active
20,Peter,Johnson,Female,29,01059465329,Minya,Car,4.6,2026-03-13,Inactive
21,Tina,Case,Male,29,01284378310,Cairo,Motorcycle,4.2,2026-03-18,Active
22,Jacqueline,Jacobs,Female,31,01117513762,Giza,Car,4.4,2025-08-29,Active
23,Amy,Johnson,Female,37,01572827573,Cairo,Scooter,4.2,2024-06-02,Active
24,Sabrina,Mann,Male,51,01031279420,Cairo,Motorcycle,4.9,2024-03-27,Active
25,Jacob,Saunders,Female,40,01046244363,Cairo,Motorcycle,4.9,2026-01-25,Active
26,Steven,Carlson,Female,35,01159701011,Mansoura,Motorcycle,5.0,2025-05-30,Active
27,Carl,Cook,Male,40,01228238185,Assiut,Car,3.8,2026-06-24,Active
28,Christine,Gordon,Male,50,01205453453,Cairo,Motorcycle,4.2,2025-01-17,Active
29,Brianna,Clark,Male,48,01558275808,Cairo,Motorcycle,4.2,2024-08-14,Active
30,Colin,Nguyen,Male,38,01542374622,Giza,Motorcycle,4.0,2025-11-26,Active
31,Stephen,Horton,Male,44,01169349501,Cairo,Bicycle,4.5,2025-03-24,Active
32,Mary,Henry,Female,26,01069639140,Zagazig,Scooter,4.7,2026-04-05,Active
33,Cynthia,Bender,Male,43,01538560433,Cairo,Scooter,4.5,2025-07-21,Inactive
34,Jonathan,Barnett,Male,23,01282627667,Cairo,Motorcycle,4.2,2023-05-13,Active
35,Carol,Small,Female,40,01219372704,Giza,Motorcycle,4.4,2023-06-13,Active
36,Patricia,Johnson,Female,55,01585302421,Cairo,Car,4.7,2026-01-08,Active
37,Katherine,Meza,Male,28,01171344401,Cairo,Motorcycle,4.1,2023-05-21,Active
38,Jerry,Meadows,Male,53,01543583742,Giza,Motorcycle,4.7,2022-10-06,Active
39,Sean,Roberts,Female,31,01583134770,Cairo,Scooter,4.8,2023-04-25,Active
40,Randall,Boyer,Male,37,01552281371,Alexandria,Car,4.9,2023-02-15,Active
41,Caroline,West,Female,48,01216323124,Alexandria,Scooter,4.6,2025-08-22,Active
42,Colleen,Garcia,Male,51,01102290635,Cairo,Motorcycle,4.0,2022-09-19,Active
43,Tami,Smith,Female,34,01269831025,Alexandria,Motorcycle,4.7,2023-10-31,Active
44,Gail,Hodges,Male,21,01093849916,Cairo,Motorcycle,4.4,2022-11-07,On Leave
45,Samantha,Rosales,Male,45,01290432331,Cairo,Motorcycle,4.5,2023-05-09,Inactive
46,Allen,Smith,Male,38,01121246136,Cairo,Bicycle,4.4,2022-10-27,Active
47,Dan,Boyd,Male,44,01546842570,Giza,Bicycle,4.7,2022-09-17,Active
48,Savannah,Russo,Male,52,01183577770,Alexandria,Motorcycle,4.2,2022-10-25,Active
49,Richard,Taylor,Female,40,01548301830,Giza,Motorcycle,4.1,2026-06-19,Active
50,Anna,Palmer,Male,50,01291745055,Giza,Motorcycle,3.9,2022-09-18,Active
51,Karen,Stark,Male,47,01153899559,Cairo,Bicycle,4.3,2023-11-06,Active
52,Ashley,Cole,Male,31,01211416416,Sohag,Motorcycle,4.6,2024-06-12,Inactive
53,Derek,Singh,Female,40,01283716670,Tanta,Motorcycle,4.5,2023-06-17,Active
54,Craig,Finley,Female,22,01294103545,Alexandria,Motorcycle,4.5,2026-05-31,Active
55,Yvette,Mills,Female,52,01192822301,Ismailia,Motorcycle,4.1,2022-10-20,Active
56,Jimmy,Mills,Male,30,01256692985,Assiut,Bicycle,3.9,2025-11-09,Active
